Metric,Pre-Superstar Mean,Post-Superstar Mean,T-statistic,P-value,Significance
Win Percentage,42.04545454545455,45.45454545454545,-0.4535126887588129,0.650744696140229,Not Significant
Plus/Minus,-1.7409090909090907,-1.6022727272727273,-0.07047628248289457,0.9438955115563761,Not Significant
Team Points Made,107.4659090909091,111.81818181818181,-2.4013573993680732,0.017387922482710448,Significant
