Metric,Pre-Superstar Mean,Post-Superstar Mean,T-statistic,P-value,Significance
Win Percentage,62.616822429906534,66.66666666666666,-0.6142333084366368,0.5397260286640744,Not Significant
Plus/Minus,1.9158878504672898,3.306666666666667,-0.8193067568680616,0.4135402665523753,Not Significant
Team Points Made,107.34579439252336,103.61904761904762,2.687456451705899,0.007776824246952187,Significant
