Metric,Pre-Superstar Mean,Post-Superstar Mean,T-statistic,P-value,Significance
Win Percentage,51.68539325842697,58.24175824175825,-0.8809951305666635,0.3795084607159831,Not Significant
Plus/Minus,1.5191011235955054,4.316483516483516,-1.4547749298987684,0.1474927483283418,Not Significant
Team Points Made,107.33707865168539,110.96703296703296,-2.2437066677762396,0.026083847336869425,Significant
