Metric,Pre-Superstar Mean,Post-Superstar Mean,T-statistic,P-value,Significance
Win Percentage,62.7906976744186,65.93406593406593,-0.43430560315572236,0.6646015399728027,Not Significant
Plus/Minus,,3.9450549450549453,,,Not Significant
Team Points Made,102.52325581395348,99.52747252747253,1.7265907671533978,0.08600588222161425,Not Significant
